('ea9180aa7df6ee51.jpg', [0.0001, 0.0004, 0.0001, 0.2591, 0.0022, 0.0001, 0.0, 0.6448, 0.0001, 0.0, 0.0001, 0.0001, 0.0001, 0.0007, 0.0922, 0.0, 0.0])
('7cea28e50e1a7bc3.jpg', [0.0001, 0.0013, 0.0001, 0.3033, 0.0078, 0.0001, 0.0001, 0.4394, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0159, 0.2312, 0.0001, 0.0001])
('fef1651e402b9db2.jpg', [0.0001, 0.0028, 0.0001, 0.5284, 0.0167, 0.0001, 0.0001, 0.4477, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.001, 0.0026, 0.0001, 0.0001])
('ad9de103ee254f8f.jpg', [0.0, 0.0003, 0.0, 0.9305, 0.0012, 0.0, 0.0, 0.0626, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0009, 0.0044, 0.0, 0.0])
('258e073a7f65a0a6.jpg', [0.0, 0.0001, 0.0, 0.0005, 0.0013, 0.0, 0.0, 0.0007, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.9969, 0.0, 0.0])
('399f45d242ce269d.jpg', [0.0001, 0.0012, 0.0001, 0.2053, 0.0015, 0.0001, 0.0001, 0.6327, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.145, 0.0131, 0.0001, 0.0001])
('4d44a64893f6244d.jpg', [0.0001, 0.002, 0.0001, 0.2431, 0.0056, 0.0001, 0.0001, 0.7385, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0088, 0.0011, 0.0001, 0.0001])
('d7cae1ad19ef25bd.jpg', [0.0, 0.0002, 0.0, 0.9574, 0.0003, 0.0, 0.0, 0.0356, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0056, 0.0005, 0.0, 0.0])
('3556a36795e097f5.jpg', [0.0001, 0.0005, 0.0001, 0.007, 0.0012, 0.0001, 0.0001, 0.0049, 0.0001, 0.0, 0.0001, 0.0001, 0.0001, 0.9797, 0.0061, 0.0001, 0.0])
('2f4532160cabe0b9.jpg', [0.0, 0.0001, 0.0, 0.0001, 0.0001, 0.0, 0.0, 0.0001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9993, 0.0, 0.0, 0.0])
('10b951d45cab812b.jpg', [0.0001, 0.0011, 0.0001, 0.4542, 0.0571, 0.0001, 0.0001, 0.2293, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0146, 0.2428, 0.0001, 0.0001])
('2e75bf13e029c0a9.jpg', [0.0001, 0.0003, 0.0001, 0.0043, 0.0006, 0.0001, 0.0001, 0.0011, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.987, 0.006, 0.0001, 0.0001])
('2904d3025a18b639.jpg', [0.0, 0.0003, 0.0, 0.5638, 0.0013, 0.0, 0.0, 0.4214, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0036, 0.0091, 0.0, 0.0])
('afd57f84ba748ab5.jpg', [0.0002, 0.0053, 0.0001, 0.4952, 0.0671, 0.0001, 0.0001, 0.4274, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0012, 0.0022, 0.0001, 0.0001])
('128fd89fa359e4e8.jpg', [0.0, 0.0001, 0.0, 0.9984, 0.0001, 0.0, 0.0, 0.0003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0005, 0.0, 0.0])
('310baa9589187970.jpg', [0.0001, 0.003, 0.0001, 0.5172, 0.0016, 0.0001, 0.0001, 0.4701, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0066, 0.0008, 0.0001, 0.0001])
('31dc25167c071e7f.jpg', [0.0001, 0.0009, 0.0, 0.7014, 0.0025, 0.0, 0.0, 0.2537, 0.0001, 0.0, 0.0001, 0.0, 0.0001, 0.0071, 0.034, 0.0, 0.0])
('d44093e90e94a1fe.jpg', [0.0001, 0.0011, 0.0001, 0.2585, 0.151, 0.0001, 0.0001, 0.2107, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0025, 0.3751, 0.0001, 0.0001])
('3ea60b9ad677687c.jpg', [0.0001, 0.0009, 0.0001, 0.6829, 0.0024, 0.0, 0.0001, 0.2783, 0.0001, 0.0, 0.0001, 0.0001, 0.0001, 0.0121, 0.0228, 0.0, 0.0])
('59f013b3c1826b2c.jpg', [0.0, 0.0006, 0.0, 0.7703, 0.0019, 0.0, 0.0, 0.1961, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0042, 0.0265, 0.0, 0.0])
('25a8d6600d2de937.jpg', [0.0, 0.0003, 0.0, 0.074, 0.0005, 0.0, 0.0, 0.9158, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0024, 0.0067, 0.0, 0.0])
('7abf7e09378f133a.jpg', [0.0, 0.0001, 0.0, 0.9814, 0.0003, 0.0, 0.0, 0.015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0003, 0.0028, 0.0, 0.0])
('9a3fcd86153cdb2d.jpg', [0.0001, 0.0059, 0.0001, 0.0212, 0.0058, 0.0001, 0.0001, 0.9654, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0004, 0.0006, 0.0001, 0.0001])
('97d2de51a1d89975.jpg', [0.0001, 0.0032, 0.0, 0.522, 0.0251, 0.0001, 0.0, 0.3838, 0.0001, 0.0, 0.0, 0.0001, 0.0001, 0.0032, 0.0621, 0.0, 0.0])
('becbb15898f28513.jpg', [0.0001, 0.0018, 0.0001, 0.4445, 0.0065, 0.0001, 0.0001, 0.2865, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.1166, 0.1428, 0.0001, 0.0001])
('0567d092e87d347c.jpg', [0.0001, 0.0019, 0.0001, 0.729, 0.1671, 0.0001, 0.0001, 0.0815, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.002, 0.0177, 0.0001, 0.0001])
('6f6e825853bbccad.jpg', [0.0, 0.0001, 0.0, 0.9987, 0.0002, 0.0, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0002, 0.0, 0.0])
('dd37dd34fb9cb6f3.jpg', [0.0002, 0.0025, 0.0002, 0.2951, 0.0048, 0.0001, 0.0002, 0.2975, 0.0002, 0.0001, 0.0002, 0.0002, 0.0002, 0.3321, 0.0663, 0.0001, 0.0001])
